threshold;versione;time_slot;book_name;tipo;stato;actual_ci;forecast_time;forecast_ci;tempo_sec;co2_emessa_g
150;plain;11:30;Sulla strada;corrente;eseguito;160.0;12:00;170.0;8.382415299999593;0.01862758955555465
150;plain;11:30;Il profumo;corrente;eseguito;160.0;12:00;170.0;8.364363699999558;0.018587474888887907
150;plain;11:30;Cecità;corrente;eseguito;160.0;12:00;170.0;8.284104400000615;0.018409120888890254
150;plain;11:30;L'alchimista;corrente;eseguito;160.0;12:00;170.0;8.354773099999875;0.018566162444444166
150;plain;11:30;Frankenstein;precedente;eseguito;160.0;12:00;170.0;1.100000190490391e-06;2.4444448677564247e-09
150;plain;11:30;Dracula;precedente;eseguito;160.0;12:00;170.0;5.000001692678779e-07;1.111111487261951e-09
150;plain;11:30;I fratelli Karamazov;precedente;eseguito;160.0;12:00;170.0;3.0000046535860747e-07;6.666677007969055e-10
150;plain;11:30;Il buio oltre la siepe;precedente;eseguito;160.0;12:00;170.0;2.999995558639057e-07;6.666656796975682e-10
150;plain;11:30;Jane Eyre;precedente;eseguito;160.0;12:00;170.0;2.999995558639057e-07;6.666656796975682e-10
150;plain;12:00;La fattoria degli animali;corrente;eseguito;250.0;12:30;260.0;8.323470299999826;0.028900938541666064
150;plain;12:00;Il maestro e Margherita;corrente;eseguito;250.0;12:30;260.0;8.480996799999957;0.029447905555555407
150;plain;12:00;Siddharta;corrente;eseguito;250.0;12:30;260.0;8.283942199999728;0.028763688194443505
150;plain;12:00;La coscienza di Zeno;corrente;eseguito;250.0;12:30;260.0;8.412618599999405;0.02921048124999794
150;plain;12:00;I dolori del giovane Werther;corrente;eseguito;250.0;12:30;260.0;8.443764600000577;0.02931862708333534
150;plain;12:00;I viaggi di Gulliver;precedente;eseguito;250.0;12:30;260.0;1.5000005078036338e-06;5.208335096540395e-09
150;plain;12:00;Sulla strada;precedente;eseguito;250.0;12:30;260.0;6.000000212225132e-07;2.0833334070226153e-09
150;plain;12:00;Il profumo;precedente;eseguito;250.0;12:30;260.0;1.9999970390927047e-07;6.944434163516336e-10
150;plain;12:00;Cecità;precedente;eseguito;250.0;12:30;260.0;1.499999598308932e-06;5.20833193857268e-09
