TimeSlot;Immagine;Versione;Budget;CI;Tempo_s;CO2_Emessa_g;Numero_filtri;Filtri_Applicati
08:00;immagine5.jpeg;plain;0.0001188;230.0;1.5144545;0.0048378408;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;pattern_standard;0.0001188;230.0;1.5197663;0.004854809;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;ca_pattern;0.0001188;230.0;0.0173081;5.52898e-05;2;resolution,saturation
08:00;immagine5.jpeg;plain;0.0003246;230.0;1.5056706;0.0048097811;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;pattern_standard;0.0003246;230.0;1.526237;0.0048754793;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;ca_pattern;0.0003246;230.0;0.0598217;0.0001910971;3;resolution,saturation,blur
08:00;immagine5.jpeg;plain;0.0009338;230.0;1.4885905;0.0047552197;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;pattern_standard;0.0009338;230.0;1.5218047;0.0048613206;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;ca_pattern;0.0009338;230.0;0.0568491;0.0001816013;3;resolution,saturation,blur
08:00;immagine5.jpeg;plain;0.0045347;230.0;1.49475;0.0047748958;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;pattern_standard;0.0045347;230.0;1.5382488;0.0049138503;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;ca_pattern;0.0045347;230.0;0.0631646;0.0002017758;3;resolution,saturation,blur
08:00;immagine5.jpeg;plain;0.0094174;230.0;1.5169574;0.0048458361;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;pattern_standard;0.0094174;230.0;1.52729;0.0048788431;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;ca_pattern;0.0094174;230.0;1.5190491;0.004852518;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;plain;0.01835;230.0;1.5147007;0.0048386272;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;pattern_standard;0.01835;230.0;1.5324965;0.0048954749;4;resolution,saturation,blur,relighting
08:00;immagine5.jpeg;ca_pattern;0.01835;230.0;1.5207869;0.0048580693;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;plain;4.7e-06;230.0;2.746684;0.0087741294;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;pattern_standard;4.7e-06;230.0;2.7447707;0.0087680175;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;ca_pattern;4.7e-06;230.0;0.004519;1.44357e-05;0;
08:00;immagine6.jpeg;plain;5.89e-05;230.0;2.9236486;0.009339433;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;pattern_standard;5.89e-05;230.0;2.9749147;0.0095031997;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;ca_pattern;5.89e-05;230.0;0.0075459;2.4105e-05;1;resolution
08:00;immagine6.jpeg;plain;0.0001188;230.0;2.7612892;0.0088207849;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;pattern_standard;0.0001188;230.0;2.7651799;0.0088332136;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;ca_pattern;0.0001188;230.0;0.0198188;6.33101e-05;2;resolution,saturation
08:00;immagine6.jpeg;plain;0.0003246;230.0;2.7606308;0.0088186817;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;pattern_standard;0.0003246;230.0;2.7504775;0.0087862476;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;ca_pattern;0.0003246;230.0;0.0565608;0.0001806803;3;resolution,saturation,blur
08:00;immagine6.jpeg;plain;0.0009338;230.0;2.7976047;0.0089367928;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;pattern_standard;0.0009338;230.0;2.8242412;0.0090218816;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;ca_pattern;0.0009338;230.0;0.0605583;0.0001934501;3;resolution,saturation,blur
08:00;immagine6.jpeg;plain;0.0045347;230.0;2.7508143;0.0087873235;4;resolution,saturation,blur,relighting
08:00;immagine6.jpeg;pattern_standard;0.0045347;230.0;2.7877528;0.0089053214;4;resolution,saturation,blur,relighting
