Documento;Tipo_query;Versione;Budget;CI;Tempo_s;CO2_Emessa_g;Numero_filtri;Filtri_applicati;Parole_trovate;File_corretto_trovato
Memorie dal sottosuolo.pdf;Corta;Pattern;9e-06;230.0;0.0060542399995028974;1.9339933331745368e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;CA;9e-06;230.0;1.2999997125007213e-06;4.152776859377305e-09;0;[];0;True
Memorie dal sottosuolo.pdf;Corta;Plain;1.42e-05;230.0;0.006108659999154042;1.9513774997297637e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Pattern;1.42e-05;230.0;0.006071999998675892;1.939666666243688e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;CA;1.42e-05;230.0;0.0020464400004129857;6.537238890208148e-06;1;['NER'];1;True
Memorie dal sottosuolo.pdf;Corta;Plain;2.4e-05;230.0;0.006087400000251364;1.944586111191408e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Pattern;2.4e-05;230.0;0.006108440001116833;1.9513072225789884e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;CA;2.4e-05;230.0;0.004025179999734974;1.285821388804228e-05;2;['NER', 'NAME'];2;True
Memorie dal sottosuolo.pdf;Corta;Plain;3.4e-05;230.0;0.006522879999829456;2.0836977777232985e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Pattern;3.4e-05;230.0;0.006633779998810496;2.1191241662866863e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;CA;3.4e-05;230.0;0.006807440000557108;2.174598889066854e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Plain;4.35e-05;230.0;0.0058184400004392955;1.858668333473664e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Pattern;4.35e-05;230.0;0.005794520000199555;1.851027222285969e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;CA;4.35e-05;230.0;0.006030420000752201;1.926384166906953e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Plain;5.3e-05;230.0;0.006249479998950846;1.99636166633152e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Pattern;5.3e-05;230.0;0.00596743999994942;1.906265555539398e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;CA;5.3e-05;230.0;0.005788540000503417;1.849116944605258e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Plain;6.3e-05;230.0;0.006060740000248188;1.9360697223015048e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Pattern;6.3e-05;230.0;0.006025080000108573;1.9246783333680166e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;CA;6.3e-05;230.0;0.005832599999121157;1.863191666385925e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Plain;7.3e-05;230.0;0.0058144399990851525;1.8573905552633127e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;Pattern;7.3e-05;230.0;0.006251960000372492;1.9971538890078796e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Corta;CA;7.3e-05;230.0;0.00584609999859822;1.867504166218876e-05;3;['NER', 'NAME', 'VERBS'];2;True
Memorie dal sottosuolo.pdf;Media;Plain;9e-06;230.0;0.007160679998924025;2.2874394441007303e-05;3;['NER', 'NAME', 'VERBS'];3;True
Memorie dal sottosuolo.pdf;Media;Pattern;9e-06;230.0;0.0077546399996208494;2.4771766665455493e-05;3;['NER', 'NAME', 'VERBS'];3;True
Memorie dal sottosuolo.pdf;Media;CA;9e-06;230.0;1.2399999832268803e-06;3.961111057530313e-09;0;[];0;False
Memorie dal sottosuolo.pdf;Media;Plain;1.42e-05;230.0;0.00721870000124909;2.3059736115101258e-05;3;['NER', 'NAME', 'VERBS'];3;True
Memorie dal sottosuolo.pdf;Media;Pattern;1.42e-05;230.0;0.0071242400001210624;2.2757988889275617e-05;3;['NER', 'NAME', 'VERBS'];3;True
Memorie dal sottosuolo.pdf;Media;CA;1.42e-05;230.0;0.0024913600012951066;7.958511115248257e-06;1;['NER'];0;False
Memorie dal sottosuolo.pdf;Media;Plain;2.4e-05;230.0;0.007749119999061804;2.475413333033632e-05;3;['NER', 'NAME', 'VERBS'];3;True
